timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1607518986.076,913.574,-21.973,-1000.000,304.199,122.559,0
1607518986.080,133.301,39.551,-945.801,-3.418,92.285,0
1607518986.084,-847.656,87.402,-165.527,-316.406,-57.617,0
1607518986.088,-680.664,50.293,270.996,-192.871,-172.852,0
1607518986.092,420.898,-7.812,-678.223,199.707,-61.035,0
1607518986.096,940.430,-16.602,-1000.000,314.941,46.875,0
1607518986.100,284.180,40.527,-947.266,49.316,44.922,0
1607518986.103,-754.395,76.660,-379.883,-286.621,-114.258,0
1607518986.107,-757.812,54.688,59.570,-232.910,-265.137,0
1607518986.111,269.531,27.832,-589.844,123.535,-141.113,0
1607518986.115,916.992,-11.719,-979.492,296.387,-12.207,0
1607518986.119,408.691,21.484,-1000.000,84.961,2.441,0
1607518986.120,-650.391,80.078,-431.641,-264.648,-137.207,0
1607518986.124,-852.539,72.266,395.020,-282.227,-289.062,0
1607518986.128,136.230,8.789,-330.078,94.238,-202.148,0
1607518986.132,928.223,-29.297,-1000.000,328.613,-50.293,0
1607518986.136,535.645,18.066,-1000.000,143.555,-22.949,0
1607518986.140,-538.574,72.754,-652.832,-215.820,-155.273,0
1607518986.144,-906.250,69.336,212.891,-296.875,-308.105,0
1607518986.147,5.859,0.977,-325.195,56.152,-264.160,0
1607518986.151,884.766,-20.020,-1000.000,315.430,-102.539,0
1607518986.155,623.047,38.086,-1000.000,165.527,-32.715,0
1607518986.159,-420.410,75.195,-654.297,-188.477,-129.883,0
1607518986.163,-948.730,75.195,259.766,-324.707,-321.289,0
1607518986.165,-154.297,25.879,-153.809,-14.648,-307.129,0
1607518986.169,816.406,-20.508,-966.309,292.480,-128.418,0
1607518986.173,729.492,0.977,-1000.000,215.820,-44.434,0
1607518986.177,-265.625,60.059,-754.883,-143.066,-142.090,0
1607518986.181,-961.426,77.637,232.910,-349.609,-323.730,0
1607518986.185,-294.434,19.531,-59.570,-54.688,-345.215,0
1607518986.189,764.160,-36.621,-982.422,297.852,-192.383,0
1607518986.192,813.965,-24.414,-985.840,247.070,-82.520,0
1607518986.196,-153.809,48.340,-833.496,-118.164,-159.180,0
1607518986.200,-975.586,96.191,158.691,-356.445,-301.758,0
1607518986.204,-456.055,41.504,148.438,-113.281,-318.359,0
1607518986.208,644.043,-30.762,-880.371,236.328,-155.762,0
1607518986.210,823.242,-27.832,-997.070,238.281,-32.715,0
1607518986.214,-42.480,30.273,-877.930,-66.895,-93.750,0
1607518986.218,-924.316,65.430,-87.402,-335.938,-280.273,0
1607518986.222,-589.844,37.598,185.059,-172.852,-332.031,0
1607518986.226,529.297,-22.949,-725.586,205.078,-153.320,0
1607518986.230,885.742,-39.062,-983.398,270.996,-30.273,0
1607518986.234,105.469,7.812,-1000.000,-21.973,-75.195,0
1607518986.237,-855.957,65.430,-357.422,-336.914,-241.211,0
1607518986.241,-688.965,51.758,195.801,-229.980,-337.891,0
1607518986.245,417.480,-16.113,-668.945,163.574,-189.941,0
1607518986.249,909.668,-25.879,-1000.000,284.180,-42.969,0
1607518986.253,224.609,35.156,-982.910,22.461,-44.434,0
1607518986.255,-783.691,86.426,-240.723,-310.547,-175.293,0
1607518986.259,-764.160,50.781,356.445,-248.535,-304.688,0
1607518986.263,294.434,1.953,-567.383,139.160,-193.359,0
1607518986.267,921.387,-8.789,-1000.000,305.176,2.441,0
1607518986.271,364.258,16.602,-981.445,71.289,27.832,0
1607518986.275,-684.570,55.176,-488.281,-274.414,-114.746,0
1607518986.279,-831.055,47.363,93.750,-281.738,-263.184,0
1607518986.282,134.277,14.160,-515.137,64.941,-180.664,0
1607518986.286,878.418,-16.602,-976.074,286.621,-8.789,0
1607518986.290,495.605,6.836,-1000.000,118.164,22.461,0
1607518986.294,-567.383,63.965,-549.316,-248.535,-119.141,0
1607518986.298,-899.414,62.988,290.527,-312.500,-273.926,0
1607518986.301,4.395,10.254,-366.211,42.969,-201.660,0
1607518986.305,871.582,-29.297,-999.023,291.504,-25.391,0
1607518986.309,604.492,8.789,-1000.000,149.902,32.715,0
1607518986.313,-459.473,77.148,-633.301,-209.473,-60.059,0
1607518986.317,-953.613,69.336,333.008,-334.473,-252.441,0
1607518986.321,-138.184,13.184,-218.750,-11.230,-239.746,0
1607518986.325,812.012,-22.949,-1000.000,281.250,-69.336,0
1607518986.328,676.758,7.812,-1000.000,175.781,29.297,0
1607518986.332,-331.543,64.453,-697.754,-179.199,-38.086,0
1607518986.336,-973.145,60.547,97.168,-348.145,-258.301,0
1607518986.340,-300.781,14.648,-214.844,-76.172,-274.414,0
1607518986.344,726.562,-22.949,-917.969,247.559,-74.707,0
1607518986.360,755.371,-22.949,-1000.000,228.027,1.465,0
1607518986.364,-196.289,36.133,-774.414,-118.652,-56.641,0
1607518986.368,-976.562,58.105,119.141,-355.957,-250.977,0
1607518986.372,-457.520,12.695,29.785,-129.883,-298.340,0
1607518986.376,657.227,-37.109,-842.773,229.980,-110.352,0
