timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1610546873.412,272.949,34.668,300.781,870.605,-54.688,0
1610546873.416,-118.652,41.016,4.395,-192.383,-61.523,0
1610546873.420,-313.477,44.922,-214.844,-1000.000,-83.496,0
1610546873.424,-134.766,42.969,-100.098,-387.695,-36.621,0
1610546873.428,248.047,36.621,205.078,758.789,-57.617,0
1610546873.432,327.637,33.203,301.758,941.406,-84.473,0
1610546873.436,-50.293,39.551,81.055,-28.320,-11.719,0
1610546873.439,-308.105,42.969,-204.102,-990.234,-16.113,0
1610546873.443,-166.504,35.645,-269.531,-555.664,-99.121,0
1610546873.447,205.566,35.156,69.336,631.836,-115.723,0
1610546873.451,325.684,40.527,403.320,-988.281,-42.969,0
1610546873.455,-15.137,43.457,156.738,112.305,-12.207,0
1610546873.457,-300.781,42.969,-272.461,-937.988,-93.750,0
1610546873.461,-208.984,37.598,-231.934,-674.805,-105.469,0
1610546873.465,144.531,32.715,176.758,492.676,-34.180,0
1610546873.469,346.680,32.715,336.914,-937.988,-47.852,0
1610546873.473,45.898,39.551,97.168,269.043,-114.746,0
1610546873.477,-294.922,44.434,-218.750,-858.398,-104.980,0
1610546873.481,-246.094,39.062,-208.984,-761.719,6.348,0
1610546873.484,111.816,32.715,71.777,369.141,28.320,0
1610546873.488,354.980,28.809,248.535,-926.758,-48.828,0
1610546873.492,90.332,37.598,229.004,395.508,-8.301,0
1610546873.496,-267.090,42.480,-94.727,-762.207,-9.277,0
1610546873.500,-263.672,37.598,-282.227,-846.191,-71.289,0
1610546873.503,58.594,37.598,18.066,220.215,-51.758,0
1610546873.507,346.191,38.086,348.633,-928.711,-67.871,0
1610546873.511,143.066,41.992,270.996,579.590,-62.500,0
1610546873.515,-232.422,44.922,-146.973,-614.258,-80.566,0
1610546873.519,-273.438,41.992,-295.410,-896.484,-98.633,0
1610546873.523,6.348,37.598,6.836,108.887,-63.477,0
1610546873.527,321.777,34.180,317.383,-964.355,-31.738,0
1610546873.530,188.965,37.598,213.379,656.738,-55.176,0
1610546873.534,-203.125,46.875,-105.957,-526.367,-59.082,0
1610546873.538,-302.246,48.340,-185.059,-981.445,-65.918,0
1610546873.542,-29.297,42.480,20.996,-86.914,-25.879,0
1610546873.546,316.895,42.969,311.035,958.496,-19.531,0
1610546873.547,234.863,44.922,311.035,750.977,-118.164,0
1610546873.551,-156.738,48.828,14.648,-397.461,-127.441,0
1610546873.555,-293.457,52.246,-246.582,-1000.000,-83.008,0
1610546873.559,-60.059,52.246,-77.637,-234.375,-20.508,0
1610546873.563,303.223,47.363,278.320,865.723,-34.668,0
1610546873.567,286.621,46.875,307.617,846.191,-42.480,0
1610546873.571,-96.191,49.316,-21.973,-237.793,-54.688,0
